compound,role,evidence_type,model_context,stress_model,reported_protection,readouts_relevant_to_PN,normal_protection_direction,confidence,PN_prior_literature_0_1,direct_human_normal_cell,caveat_for_triage,source_title,source_url,source_kind
Trolox,repair_candidate,primary cell / tissue-like in vitro,human and murine primary alveolar type II cells,cigarette-smoke-induced oxidative/genotoxic/inflammatory injury,"Trolox contributes to Nrf2-mediated protection against oxidative stress, genotoxicity and inflammation in primary ATII cells.","oxidative stress, genotoxicity, inflammation, cell injury",protective,A,0.85,yes,Antioxidant protection could also reduce cancer stress/death; PC and antagonism must be measured.,Trolox contributes to Nrf2-mediated protection of human and murine primary alveolar type II cells from injury by cigarette smoke,https://pmc.ncbi.nlm.nih.gov/articles/PMC3668634/,primary research
Trolox,repair_candidate,primary immune cells / ex vivo,rat thymocytes,peroxynitrite-mediated oxidative stress,Trolox protected rat thymocytes from peroxynitrite-mediated apoptosis.,"oxidative stress, apoptosis",protective,B,0.75,no,Non-human immune cell model; still useful as oxidative-apoptosis protection evidence.,Trolox inhibits peroxynitrite-mediated oxidative stress and apoptosis in rat thymocytes,https://pubmed.ncbi.nlm.nih.gov/8809090/,primary research
Trolox,repair_candidate,mechanistic caveat,cellular models including non-normal/cancer contexts,dose-dependent redox context,"Trolox can show concentration-dependent antioxidant/prooxidant behavior, so dose window matters.","redox state, apoptosis/cytotoxicity",mixed / dose-dependent,B-caveat,0.55,mixed,Must predefine non-toxic/protective dose before pair testing.,Concentration Dependence of the Antioxidant and Prooxidant Effects of Trolox,https://pmc.ncbi.nlm.nih.gov/articles/PMC7693461/,mechanistic research
Taurine,repair_candidate,primary cells,primary liver cells isolated from Atlantic salmon,oxidative stress / apoptosis,Taurine attenuated apoptosis and supported mitochondrial integrity/respiration in primary liver cells.,"apoptosis, mitochondrial integrity, respiration",protective,B,0.7,no,Primary-cell evidence exists but not human; translate as supportive PN prior only.,Taurine attenuates apoptosis in primary liver cells isolated from Atlantic salmon,https://pubmed.ncbi.nlm.nih.gov/23182339/,primary research
Taurine,repair_candidate,cell protection / ER stress,PC12 cells,H2O2-induced oxidative stress and ER stress,Taurine protected cells against oxidative stress and suppressed ER stress associated with H2O2 exposure.,"oxidative stress, ER stress, survival",protective,B-,0.62,no,PC12 is not a normal human primary model; useful for stress-pathway rationale.,Taurine protection of PC12 cells against endoplasmic reticulum stress induced by oxidative stress,https://pmc.ncbi.nlm.nih.gov/articles/PMC2994405/,primary research
Taurine,repair_candidate,normal-like bone cell model,osteocyte-like cells,oxidative-stress-induced cytotoxicity,Taurine protected osteocyte-like cells from oxidative-stress-induced cytotoxicity.,"cell viability, oxidative injury",protective,B,0.68,no/mixed,"Good normal-like cytoprotection signal, but tissue-specific and not cancer-comparator evidence.","Taurine, an osteocyte metabolite, protects against oxidative stress",https://pmc.ncbi.nlm.nih.gov/articles/PMC7369146/,primary research
Benfotiamine,repair_candidate,human vascular functional evidence,individuals with type 2 diabetes; macro/microvascular endothelial function,advanced-glycation-end-product rich meal,Benfotiamine prevented macro- and microvascular endothelial dysfunction and oxidative stress after AGE-rich meal.,"endothelial function, oxidative stress markers",protective,A-/B+,0.72,"human in vivo, not cell assay",Strong normal-tissue protection rationale but not a direct in vitro normal-cell PN assay.,Benfotiamine prevents macro- and microvascular endothelial dysfunction and oxidative stress following a meal rich in advanced glycation end products,https://pubmed.ncbi.nlm.nih.gov/16936154/,human study
Benfotiamine,repair_candidate,inflammation / oxidative stress model,cell/tissue inflammation model,oxidative-stress-induced NF-κB activation and bacterial endotoxin-induced inflammation,Benfotiamine suppressed oxidative-stress-induced NF-κB activation and prevented endotoxin-induced inflammation.,"NF-κB, oxidative stress, inflammation",protective,B,0.67,unclear/mixed,Mechanistically relevant but not sufficient alone for normal-selectivity claim.,"Protective role of benfotiamine, a fat soluble vitamin B1 analogue, in lipopolysaccharide-induced cytotoxic signals",https://pmc.ncbi.nlm.nih.gov/articles/PMC2856750/,primary research
Benfotiamine,repair_candidate,negative/mixed clinical caveat,type 2 diabetes / clinical biomarkers,advanced glycation/endothelial dysfunction markers,A later randomized trial reported no significant reductions in plasma/urinary AGEs or endothelial dysfunction/low-grade inflammation markers versus placebo.,"AGEs, endothelial markers, inflammation markers",mixed,A-caveat,0.45,human in vivo,"Benfotiamine PN prior should be moderate, not assumed strong.",Effect of Benfotiamine on Advanced Glycation Endproducts and Markers of Endothelial Dysfunction and Inflammation,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0040427,human study / caveat
L-ergothioneine,repair_candidate,human skin cells / tissue,human epidermal keratinocytes and skin tissue,solar-simulating UV oxidative stress,"L-ergothioneine accumulated via OCTN1 and reduced ROS, DNA/protein/lipid damage, apoptotic response, and increased viability.","ROS, DNA damage, protein/lipid damage, apoptosis, viability",protective,A,0.9,yes,"Strong PN prior, but its DNA-damage/apoptosis reduction creates PC-risk concern in cancer cells.",Skin cells and tissue are capable of using L-ergothioneine as an integral component of their antioxidant defense system,https://pubmed.ncbi.nlm.nih.gov/19439218/,primary research
