compound,role,axis_or_class,normal_protection_PN_prior_literature,normal_protection_grade,normal_protection_best_support,normal_protection_caveat,curated_ChEMBL_TN_prior,curated_ChEMBL_TN_status,ChEMBL_accepted_rows,ChEMBL_TierA_rows,PRISM_cancer_preservation_PC_penalty,PRISM_PC_status,removal_axis_RC_proxy,removal_axis_tier,cancer_side_evidence,current_evidence_interpretation,unresolved_gap_flags,next_direct_assay
trolox,repair_candidate,strict repair/protective; antioxidant probe,0.8,High,primary alveolar type II cell protection + thymocyte oxidative apoptosis protection,dose/context-dependent antioxidant-prooxidant behavior; antioxidant PC/antagonism risk,0.25,weak/low curated normal-toxicity signal,31,6,0.486,lower PRISM cancer-preservation risk,,,PRISM PC penalty=0.486; lower PRISM cancer-preservation risk,normal-protection prior + PRISM cancer-preservation profile available; direct same-condition selectivity test still missing,direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
L-ergothioneine,repair_candidate,strict repair/protective; antioxidant-like,0.86,High,human keratinocyte/skin UV oxidative stress protection via OCTN1; chondrocyte oxidative stress protection,strong cytoprotection can imply high cancer-preservation penalty in stressed cancer cells,,TN missing / insufficient curated ChEMBL normal-like data,0,0,0.962,high PRISM cancer-preservation risk,,,PRISM PC penalty=0.962; high PRISM cancer-preservation risk,normal-protection prior + PRISM cancer-preservation profile available; direct same-condition selectivity test still missing,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
benfotiamine,repair_candidate,strict repair/protective; metabolic/stress protection,0.62,Moderate / mixed,human endothelial dysfunction/oxidative stress protection after AGE-rich meal,"clinical evidence mixed; mechanism is metabolic/AGE/NF-κB, not simple antioxidant",,TN missing / insufficient curated ChEMBL normal-like data,0,0,0.463,lower PRISM cancer-preservation risk,,,PRISM PC penalty=0.463; lower PRISM cancer-preservation risk,normal-protection prior + PRISM cancer-preservation profile available; direct same-condition selectivity test still missing,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
taurine,repair_candidate,strict repair/protective; osmolyte/antioxidant-like,0.68,Moderate,"primary liver cells, PC12 ER/oxidative stress, osteocyte-like oxidative cytotoxicity",less direct human normal-cell evidence than Trolox/EGT,,TN missing / insufficient curated ChEMBL normal-like data,2,0,0.783,high PRISM cancer-preservation risk,,,PRISM PC penalty=0.783; high PRISM cancer-preservation risk,normal-protection prior + PRISM cancer-preservation profile available; direct same-condition selectivity test still missing,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
dexamethasone,repair_candidate_watchlist,glucocorticoid representative,,,,,1.0,high curated normal-toxicity concern,68,17,,not assessed as repair-preservation candidate,,,not assessed as repair-preservation candidate,repair candidate evidence incomplete,PN_missing; PC_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,,,not assessed as repair-preservation candidate,repair candidate evidence incomplete,PN_missing; TN_missing; PC_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
prednisolone,repair_candidate_watchlist,glucocorticoid representative,,,,,1.0,high curated normal-toxicity concern,6,0,,not assessed as repair-preservation candidate,,,not assessed as repair-preservation candidate,repair candidate evidence incomplete,PN_missing; PC_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
CHIR-124,removal axis_candidate,CHK / DDR checkpoint,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,0.568,Tier A,removal axis RC proxy=0.568; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
LY2606368,removal axis_candidate,CHK / DDR checkpoint,,,,,,TN missing / insufficient curated ChEMBL normal-like data,0,0,,not assessed as repair-preservation candidate,0.568,Tier A,removal axis RC proxy=0.568; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,TN_missing; direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
PF-477736,removal axis_candidate,CHK / DDR checkpoint,,,,,1.0,high curated normal-toxicity concern,9,9,,not assessed as repair-preservation candidate,0.568,Tier A,removal axis RC proxy=0.568; Tier=Tier A,removal axis cancer-removal axis available; normal-toxicity prior is evidence-limited or compound-dependent,direct_normal_vs_RTR_high_same_condition_missing; repair_plus_removal axis_pair_data_missing,same-condition normal-like vs RTR-high cancer: control / repair only / removal axis only / repair+removal axis; acute + regrowth
